Branch code,Branch name,Categorization of customers,Mobile Banking,Status,Number of customers
NP0010162,Individual Female,Mobile Banking,BR Thada,INACTIVE,34
NP0010162,Individual Male,Mobile Banking,BR Thada,ACTIVE,309
NP0010162,Individual Male,Mobile Banking,BR Thada,INACTIVE,50
NP0010162,Individual Other,Mobile Banking,BR Thada,ACTIVE,401
NP0010162,Individual Other,Mobile Banking,BR Thada,INACTIVE,59
NP0010162,Individual Other,Mobile Banking,BR Thada,ACTIVE,226
NP0010162,Individual Other,Mobile Banking,BR Thada,INACTIVE,459
NP0010163,Individual Female,Mobile Banking,Province Office Gandaki,ACTIVE,3
NP0010163,Individual Male,Mobile Banking,Province Office Gandaki,ACTIVE,7
NP0010163,Individual Male,Mobile Banking,Province Office Gandaki,INACTIVE,1
NP0010164,Individual Female,Mobile Banking,BR Pokhara,ACTIVE,1303
NP0010164,Individual Female,Mobile Banking,BR Pokhara,INACTIVE,185
NP0010164,Individual Male,Mobile Banking,BR Pokhara,ACTIVE,1542
NP0010164,Individual Male,Mobile Banking,BR Pokhara,INACTIVE,392
NP0010164,Individual Other,Mobile Banking,BR Pokhara,ACTIVE,1179
NP0010164,Individual Other,Mobile Banking,BR Pokhara,INACTIVE,137
NP0010164,Individual Other,Mobile Banking,BR Pokhara,ACTIVE,753
NP0010164,Individual Other,Mobile Banking,BR Pokhara,INACTIVE,1125
NP0010165,Individual Female,Mobile Banking,BR Bagar,ACTIVE,434
NP0010165,Individual Female,Mobile Banking,BR Bagar,INACTIVE,123
NP0010165,Individual Male,Mobile Banking,BR Bagar,ACTIVE,513
NP0010165,Individual Male,Mobile Banking,BR Bagar,INACTIVE,170
NP0010165,Individual Other,Mobile Banking,BR Bagar,ACTIVE,357
NP0010165,Individual Other,Mobile Banking,BR Bagar,INACTIVE,60
NP0010165,Individual Other,Mobile Banking,BR Bagar,ACTIVE,248
NP0010165,Individual Other,Mobile Banking,BR Bagar,INACTIVE,975
NP0010166,Individual Female,Mobile Banking,BR Gagangauda,ACTIVE,330
NP0010166,Individual Female,Mobile Banking,BR Gagangauda,INACTIVE,310
NP0010166,Individual Male,Mobile Banking,BR Gagangauda,ACTIVE,628
NP0010166,Individual Male,Mobile Banking,BR Gagangauda,INACTIVE,1179
NP0010166,Individual Other,Mobile Banking,BR Gagangauda,ACTIVE,119
NP0010166,Individual Other,Mobile Banking,BR Gagangauda,INACTIVE,44
NP0010166,Individual Other,Mobile Banking,BR Gagangauda,ACTIVE,125
NP0010166,Individual Other,Mobile Banking,BR Gagangauda,INACTIVE,552
NP0010167,Individual Female,Mobile Banking,BR Chipledhunga,ACTIVE,372
NP0010167,Individual Female,Mobile Banking,BR Chipledhunga,INACTIVE,89
NP0010167,Individual Male,Mobile Banking,BR Chipledhunga,ACTIVE,448
NP0010167,Individual Male,Mobile Banking,BR Chipledhunga,INACTIVE,141
NP0010167,Individual Other,Mobile Banking,BR Chipledhunga,ACTIVE,167
NP0010167,Individual Other,Mobile Banking,BR Chipledhunga,INACTIVE,34
NP0010167,Individual Other,Mobile Banking,BR Chipledhunga,ACTIVE,58
NP0010167,Individual Other,Mobile Banking,BR Chipledhunga,INACTIVE,339
NP0010168,Individual Female,Mobile Banking,BR Damauli,ACTIVE,259
NP0010168,Individual Female,Mobile Banking,BR Damauli,INACTIVE,88
NP0010168,Individual Male,Mobile Banking,BR Damauli,ACTIVE,267
NP0010168,Individual Male,Mobile Banking,BR Damauli,INACTIVE,108
NP0010168,Individual Other,Mobile Banking,BR Damauli,ACTIVE,282
NP0010168,Individual Other,Mobile Banking,BR Damauli,INACTIVE,41
NP0010168,Individual Other,Mobile Banking,BR Damauli,ACTIVE,298
NP0010168,Individual Other,Mobile Banking,BR Damauli,INACTIVE,826
NP0010169,Individual Female,Mobile Banking,BR Khairenitar,ACTIVE,307
NP0010169,Individual Female,Mobile Banking,BR Khairenitar,INACTIVE,104
NP0010169,Individual Male,Mobile Banking,BR Khairenitar,ACTIVE,341
NP0010169,Individual Male,Mobile Banking,BR Khairenitar,INACTIVE,124
NP0010169,Individual Other,Mobile Banking,BR Khairenitar,ACTIVE,191
NP0010169,Individual Other,Mobile Banking,BR Khairenitar,INACTIVE,47
NP0010169,Individual Other,Mobile Banking,BR Khairenitar,ACTIVE,243
NP0010169,Individual Other,Mobile Banking,BR Khairenitar,INACTIVE,900
NP0010170,Individual Female,Mobile Banking,BR Dumre,ACTIVE,163
NP0010170,Individual Female,Mobile Banking,BR Dumre,INACTIVE,46
NP0010170,Individual Male,Mobile Banking,BR Dumre,ACTIVE,201
NP0010170,Individual Male,Mobile Banking,BR Dumre,INACTIVE,65
NP0010170,Individual Other,Mobile Banking,BR Dumre,ACTIVE,170
NP0010170,Individual Other,Mobile Banking,BR Dumre,INACTIVE,37
NP0010170,Individual Other,Mobile Banking,BR Dumre,ACTIVE,180
NP0010170,Individual Other,Mobile Banking,BR Dumre,INACTIVE,446
NP0010172,Individual Female,Mobile Banking,BR Galyang,ACTIVE,182
NP0010172,Individual Female,Mobile Banking,BR Galyang,INACTIVE,38
NP0010172,Individual Male,Mobile Banking,BR Galyang,ACTIVE,292
NP0010172,Individual Male,Mobile Banking,BR Galyang,INACTIVE,98
NP0010172,Individual Other,Mobile Banking,BR Galyang,ACTIVE,239
NP0010172,Individual Other,Mobile Banking,BR Galyang,INACTIVE,43
NP0010172,Individual Other,Mobile Banking,BR Galyang,ACTIVE,224
NP0010172,Individual Other,Mobile Banking,BR Galyang,INACTIVE,397
NP0010173,Individual Female,Mobile Banking,BR Waling,ACTIVE,277
NP0010173,Individual Female,Mobile Banking,BR Waling,INACTIVE,67
NP0010173,Individual Male,Mobile Banking,BR Waling,ACTIVE,492
NP0010173,Individual Male,Mobile Banking,BR Waling,INACTIVE,152
NP0010173,Individual Other,Mobile Banking,BR Waling,ACTIVE,201
NP0010173,Individual Other,Mobile Banking,BR Waling,INACTIVE,70
NP0010173,Individual Other,Mobile Banking,BR Waling,ACTIVE,153
NP0010173,Individual Other,Mobile Banking,BR Waling,INACTIVE,514
NP0010174,Individual Female,Mobile Banking,BR Syangja,ACTIVE,235
NP0010174,Individual Female,Mobile Banking,BR Syangja,INACTIVE,50
NP0010174,Individual Male,Mobile Banking,BR Syangja,ACTIVE,388
NP0010174,Individual Male,Mobile Banking,BR Syangja,INACTIVE,79
NP0010174,Individual Other,Mobile Banking,BR Syangja,ACTIVE,503
NP0010174,Individual Other,Mobile Banking,BR Syangja,INACTIVE,70
NP0010174,Individual Other,Mobile Banking,BR Syangja,ACTIVE,433
NP0010174,Individual Other,Mobile Banking,BR Syangja,INACTIVE,1082
NP0010175,Individual Female,Mobile Banking,BR Gorkha,ACTIVE,245
NP0010175,Individual Female,Mobile Banking,BR Gorkha,INACTIVE,86
NP0010175,Individual Male,Mobile Banking,BR Gorkha,ACTIVE,335
NP0010175,Individual Male,Mobile Banking,BR Gorkha,INACTIVE,124
NP0010175,Individual Other,Mobile Banking,BR Gorkha,ACTIVE,301
NP0010175,Individual Other,Mobile Banking,BR Gorkha,INACTIVE,117
NP0010175,Individual Other,Mobile Banking,BR Gorkha,ACTIVE,332
NP0010175,Individual Other,Mobile Banking,BR Gorkha,INACTIVE,1184
NP0010176,Individual Female,Mobile Banking,BR Aarughat,ACTIVE,128
NP0010176,Individual Female,Mobile Banking,BR Aarughat,INACTIVE,99
NP0010176,Individual Male,Mobile Banking,BR Aarughat,ACTIVE,239
NP0010176,Individual Male,Mobile Banking,BR Aarughat,INACTIVE,165
NP0010176,Individual Other,Mobile Banking,BR Aarughat,ACTIVE,273
NP0010176,Individual Other,Mobile Banking,BR Aarughat,INACTIVE,63
NP0010177,Individual Female,Mobile Banking,BR Palungtar,ACTIVE,753
NP0010177,Individual Female,Mobile Banking,BR Palungtar,INACTIVE,75
NP0010177,Individual Male,Mobile Banking,BR Palungtar,ACTIVE,804
NP0010177,Individual Male,Mobile Banking,BR Palungtar,INACTIVE,140
NP0010177,Individual Other,Mobile Banking,BR Palungtar,ACTIVE,577
NP0010177,Individual Other,Mobile Banking,BR Palungtar,INACTIVE,82
NP0010177,Individual Other,Mobile Banking,BR Palungtar,ACTIVE,260
NP0010177,Individual Other,Mobile Banking,BR Palungtar,INACTIVE,275
NP0010178,Individual Female,Mobile Banking,BR Beshishahar,ACTIVE,301
NP0010178,Individual Female,Mobile Banking,BR Beshishahar,INACTIVE,164
NP0010178,Individual Male,Mobile Banking,BR Beshishahar,ACTIVE,389
NP0010178,Individual Male,Mobile Banking,BR Beshishahar,INACTIVE,245
NP0010178,Individual Other,Mobile Banking,BR Beshishahar,ACTIVE,303
NP0010178,Individual Other,Mobile Banking,BR Beshishahar,INACTIVE,71
NP0010178,Individual Other,Mobile Banking,BR Beshishahar,ACTIVE,370
NP0010178,Individual Other,Mobile Banking,BR Beshishahar,INACTIVE,736
NP0010179,Individual Female,Mobile Banking,BR Bhorletar,ACTIVE,439
NP0010179,Individual Female,Mobile Banking,BR Bhorletar,INACTIVE,47
NP0010179,Individual Male,Mobile Banking,BR Bhorletar,ACTIVE,508
NP0010179,Individual Male,Mobile Banking,BR Bhorletar,INACTIVE,86
NP0010179,Individual Other,Mobile Banking,BR Bhorletar,ACTIVE,383
NP0010179,Individual Other,Mobile Banking,BR Bhorletar,INACTIVE,71
NP0010179,Individual Other,Mobile Banking,BR Bhorletar,ACTIVE,239
NP0010179,Individual Other,Mobile Banking,BR Bhorletar,INACTIVE,362
NP0010180,Individual Female,Mobile Banking,BR Bhotewadar,ACTIVE,295
NP0010180,Individual Female,Mobile Banking,BR Bhotewadar,INACTIVE,86
NP0010180,Individual Male,Mobile Banking,BR Bhotewadar,ACTIVE,311
NP0010180,Individual Male,Mobile Banking,BR Bhotewadar,INACTIVE,180
NP0010180,Individual Other,Mobile Banking,BR Bhotewadar,ACTIVE,155
NP0010180,Individual Other,Mobile Banking,BR Bhotewadar,INACTIVE,42
NP0010180,Individual Other,Mobile Banking,BR Bhotewadar,ACTIVE,287
NP0010180,Individual Other,Mobile Banking,BR Bhotewadar,INACTIVE,1103
NP0010181,Individual Female,Mobile Banking,BR Manag,ACTIVE,20
NP0010181,Individual Female,Mobile Banking,BR Manag,INACTIVE,8
NP0010181,Individual Male,Mobile Banking,BR Manag,ACTIVE,40
NP0010181,Individual Male,Mobile Banking,BR Manag,INACTIVE,27
NP0010181,Individual Other,Mobile Banking,BR Manag,ACTIVE,28
NP0010181,Individual Other,Mobile Banking,BR Manag,INACTIVE,4
NP0010181,Individual Other,Mobile Banking,BR Manag,ACTIVE,13
NP0010181,Individual Other,Mobile Banking,BR Manag,INACTIVE,84
NP0010182,Individual Female,Mobile Banking,BR Baglung,ACTIVE,190
NP0010182,Individual Female,Mobile Banking,BR Baglung,INACTIVE,47
NP0010182,Individual Male,Mobile Banking,BR Baglung,ACTIVE,377
NP0010182,Individual Male,Mobile Banking,BR Baglung,INACTIVE,119
NP0010182,Individual Other,Mobile Banking,BR Baglung,ACTIVE,407
NP0010182,Individual Other,Mobile Banking,BR Baglung,INACTIVE,54
NP0010182,Individual Other,Mobile Banking,BR Baglung,ACTIVE,302
NP0010182,Individual Other,Mobile Banking,BR Baglung,INACTIVE,445
NP0010183,Individual Female,Mobile Banking,BR Hatiya,ACTIVE,246
NP0010183,Individual Female,Mobile Banking,BR Hatiya,INACTIVE,62
NP0010183,Individual Male,Mobile Banking,BR Hatiya,ACTIVE,399
NP0010183,Individual Male,Mobile Banking,BR Hatiya,INACTIVE,162
NP0010183,Individual Other,Mobile Banking,BR Hatiya,ACTIVE,311
NP0010183,Individual Other,Mobile Banking,BR Hatiya,INACTIVE,34
NP0010184,Individual Female,Mobile Banking,BR Kusma,ACTIVE,124
NP0010184,Individual Female,Mobile Banking,BR Kusma,INACTIVE,30
NP0010184,Individual Male,Mobile Banking,BR Kusma,ACTIVE,287
NP0010184,Individual Male,Mobile Banking,BR Kusma,INACTIVE,92
NP0010184,Individual Other,Mobile Banking,BR Kusma,ACTIVE,208
NP0010184,Individual Other,Mobile Banking,BR Kusma,INACTIVE,43
NP0010184,Individual Other,Mobile Banking,BR Kusma,ACTIVE,140
NP0010184,Individual Other,Mobile Banking,BR Kusma,INACTIVE,501
NP0010185,Individual Female,Mobile Banking,BR Huwas,ACTIVE,524
NP0010185,Individual Female,Mobile Banking,BR Huwas,INACTIVE,48
NP0010185,Individual Male,Mobile Banking,BR Huwas,ACTIVE,707
NP0010185,Individual Male,Mobile Banking,BR Huwas,INACTIVE,121
NP0010185,Individual Other,Mobile Banking,BR Huwas,ACTIVE,374
NP0010185,Individual Other,Mobile Banking,BR Huwas,INACTIVE,45
NP0010185,Individual Other,Mobile Banking,BR Huwas,ACTIVE,400
NP0010185,Individual Other,Mobile Banking,BR Huwas,INACTIVE,726
NP0010186,Individual Female,Mobile Banking,BR Beni,ACTIVE,148
NP0010186,Individual Female,Mobile Banking,BR Beni,INACTIVE,54
NP0010186,Individual Male,Mobile Banking,BR Beni,ACTIVE,287
NP0010186,Individual Male,Mobile Banking,BR Beni,INACTIVE,96
NP0010186,Individual Other,Mobile Banking,BR Beni,ACTIVE,154
NP0010186,Individual Other,Mobile Banking,BR Beni,INACTIVE,52
NP0010186,Individual Other,Mobile Banking,BR Beni,ACTIVE,151
NP0010186,Individual Other,Mobile Banking,BR Beni,INACTIVE,719
NP0010188,Individual Female,Mobile Banking,BR Jomsom,ACTIVE,41
NP0010188,Individual Female,Mobile Banking,BR Jomsom,INACTIVE,8
NP0010188,Individual Male,Mobile Banking,BR Jomsom,ACTIVE,75
NP0010188,Individual Male,Mobile Banking,BR Jomsom,INACTIVE,27
NP0010188,Individual Other,Mobile Banking,BR Jomsom,ACTIVE,44
NP0010188,Individual Other,Mobile Banking,BR Jomsom,INACTIVE,18
NP0010188,Individual Other,Mobile Banking,BR Jomsom,ACTIVE,4
NP0010188,Individual Other,Mobile Banking,BR Jomsom,INACTIVE,23
NP0010189,Individual Female,Mobile Banking,RO Ghorahi,ACTIVE,150
NP0010189,Individual Female,Mobile Banking,RO Ghorahi,INACTIVE,2
NP0010189,Individual Male,Mobile Banking,RO Ghorahi,ACTIVE,135
NP0010189,Individual Male,Mobile Banking,RO Ghorahi,INACTIVE,1
NP0010189,Individual Other,Mobile Banking,RO Ghorahi,ACTIVE,14
NP0010190,Individual Female,Mobile Banking,BR Lamahi,ACTIVE,261
NP0010190,Individual Female,Mobile Banking,BR Lamahi,INACTIVE,46
NP0010190,Individual Male,Mobile Banking,BR Lamahi,ACTIVE,412
NP0010190,Individual Male,Mobile Banking,BR Lamahi,INACTIVE,113
NP0010190,Individual Other,Mobile Banking,BR Lamahi,ACTIVE,382
NP0010190,Individual Other,Mobile Banking,BR Lamahi,INACTIVE,93
NP0010190,Individual Other,Mobile Banking,BR Lamahi,ACTIVE,473
NP0010190,Individual Other,Mobile Banking,BR Lamahi,INACTIVE,776
NP0010191,Individual Female,Mobile Banking,BR Tulsipur,ACTIVE,821
NP0010191,Individual Female,Mobile Banking,BR Tulsipur,INACTIVE,110
NP0010191,Individual Male,Mobile Banking,BR Tulsipur,ACTIVE,1156
NP0010191,Individual Male,Mobile Banking,BR Tulsipur,INACTIVE,228
NP0010191,Individual Other,Mobile Banking,BR Tulsipur,ACTIVE,1132
NP0010191,Individual Other,Mobile Banking,BR Tulsipur,INACTIVE,305
NP0010191,Individual Other,Mobile Banking,BR Tulsipur,ACTIVE,466
NP0010191,Individual Other,Mobile Banking,BR Tulsipur,INACTIVE,1074
NP0010192,Individual Female,Mobile Banking,BR Tri-Marga,ACTIVE,186
NP0010192,Individual Female,Mobile Banking,BR Tri-Marga,INACTIVE,60
NP0010192,Individual Male,Mobile Banking,BR Tri-Marga,ACTIVE,245
NP0010192,Individual Male,Mobile Banking,BR Tri-Marga,INACTIVE,106
NP0010192,Individual Other,Mobile Banking,BR Tri-Marga,ACTIVE,158
NP0010192,Individual Other,Mobile Banking,BR Tri-Marga,INACTIVE,55
NP0010193,Individual Female,Mobile Banking,BR Gadhawa,ACTIVE,148
NP0010193,Individual Female,Mobile Banking,BR Gadhawa,INACTIVE,28
NP0010193,Individual Male,Mobile Banking,BR Gadhawa,ACTIVE,269
NP0010193,Individual Male,Mobile Banking,BR Gadhawa,INACTIVE,61
NP0010193,Individual Other,Mobile Banking,BR Gadhawa,ACTIVE,345
NP0010193,Individual Other,Mobile Banking,BR Gadhawa,INACTIVE,50
NP0010194,Individual Female,Mobile Banking,BR Ghorahi,ACTIVE,661
NP0010194,Individual Female,Mobile Banking,BR Ghorahi,INACTIVE,162
NP0010194,Individual Male,Mobile Banking,BR Ghorahi,ACTIVE,927
NP0010194,Individual Male,Mobile Banking,BR Ghorahi,INACTIVE,331
NP0010194,Individual Other,Mobile Banking,BR Ghorahi,ACTIVE,1137
NP0010194,Individual Other,Mobile Banking,BR Ghorahi,INACTIVE,156
NP0010194,Individual Other,Mobile Banking,BR Ghorahi,ACTIVE,1636
NP0010194,Individual Other,Mobile Banking,BR Ghorahi,INACTIVE,890
NP0010195,Individual Female,Mobile Banking,BR Narayanpur,ACTIVE,442
NP0010195,Individual Female,Mobile Banking,BR Narayanpur,INACTIVE,63
NP0010195,Individual Male,Mobile Banking,BR Narayanpur,ACTIVE,473
NP0010195,Individual Male,Mobile Banking,BR Narayanpur,INACTIVE,92
NP0010195,Individual Other,Mobile Banking,BR Narayanpur,ACTIVE,440
NP0010195,Individual Other,Mobile Banking,BR Narayanpur,INACTIVE,156
NP0010195,Individual Other,Mobile Banking,BR Narayanpur,ACTIVE,226
NP0010195,Individual Other,Mobile Banking,BR Narayanpur,INACTIVE,853
NP0010196,Individual Female,Mobile Banking,BR Pyuthan,ACTIVE,129
NP0010196,Individual Female,Mobile Banking,BR Pyuthan,INACTIVE,27
NP0010196,Individual Male,Mobile Banking,BR Pyuthan,ACTIVE,252
NP0010196,Individual Male,Mobile Banking,BR Pyuthan,INACTIVE,57
NP0010196,Individual Other,Mobile Banking,BR Pyuthan,ACTIVE,316
NP0010196,Individual Other,Mobile Banking,BR Pyuthan,INACTIVE,132
NP0010196,Individual Other,Mobile Banking,BR Pyuthan,ACTIVE,29
NP0010196,Individual Other,Mobile Banking,BR Pyuthan,INACTIVE,53
NP0010197,Individual Female,Mobile Banking,BR Rolpa,ACTIVE,110
NP0010197,Individual Female,Mobile Banking,BR Rolpa,INACTIVE,13
NP0010197,Individual Male,Mobile Banking,BR Rolpa,ACTIVE,156
NP0010197,Individual Male,Mobile Banking,BR Rolpa,INACTIVE,45
NP0010197,Individual Other,Mobile Banking,BR Rolpa,ACTIVE,239
NP0010197,Individual Other,Mobile Banking,BR Rolpa,INACTIVE,42
NP0010197,Individual Other,Mobile Banking,BR Rolpa,ACTIVE,272
NP0010197,Individual Other,Mobile Banking,BR Rolpa,INACTIVE,638
NP0010198,Individual Female,Mobile Banking,BR Salyan,ACTIVE,426
NP0010198,Individual Female,Mobile Banking,BR Salyan,INACTIVE,53
NP0010198,Individual Male,Mobile Banking,BR Salyan,ACTIVE,518
NP0010198,Individual Male,Mobile Banking,BR Salyan,INACTIVE,141
NP0010198,Individual Other,Mobile Banking,BR Salyan,ACTIVE,711
NP0010198,Individual Other,Mobile Banking,BR Salyan,INACTIVE,98
NP0010198,Individual Other,Mobile Banking,BR Salyan,ACTIVE,595
NP0010198,Individual Other,Mobile Banking,BR Salyan,INACTIVE,697
NP0010199,Individual Female,Mobile Banking,BR Musikot,ACTIVE,271
NP0010199,Individual Female,Mobile Banking,BR Musikot,INACTIVE,44
NP0010199,Individual Male,Mobile Banking,BR Musikot,ACTIVE,424
NP0010199,Individual Male,Mobile Banking,BR Musikot,INACTIVE,127
NP0010199,Individual Other,Mobile Banking,BR Musikot,ACTIVE,293
NP0010199,Individual Other,Mobile Banking,BR Musikot,INACTIVE,65
NP0010199,Individual Other,Mobile Banking,BR Musikot,ACTIVE,150
NP0010199,Individual Other,Mobile Banking,BR Musikot,INACTIVE,368
NP0010201,Individual Female,Mobile Banking,BR Tribhuwanchowk,ACTIVE,194
NP0010201,Individual Female,Mobile Banking,BR Tribhuwanchowk,INACTIVE,34
NP0010201,Individual Male,Mobile Banking,BR Tribhuwanchowk,ACTIVE,267
NP0010201,Individual Male,Mobile Banking,BR Tribhuwanchowk,INACTIVE,76
NP0010201,Individual Other,Mobile Banking,BR Tribhuwanchowk,ACTIVE,246
NP0010201,Individual Other,Mobile Banking,BR Tribhuwanchowk,INACTIVE,65
NP0010201,Individual Other,Mobile Banking,BR Tribhuwanchowk,ACTIVE,261
NP0010201,Individual Other,Mobile Banking,BR Tribhuwanchowk,INACTIVE,384
NP0010202,Individual Female,Mobile Banking,BR Papari,ACTIVE,200
NP0010202,Individual Female,Mobile Banking,BR Papari,INACTIVE,16
NP0010202,Individual Male,Mobile Banking,BR Papari,ACTIVE,266
NP0010202,Individual Male,Mobile Banking,BR Papari,INACTIVE,38
NP0010202,Individual Other,Mobile Banking,BR Papari,ACTIVE,1
NP0010202,Individual Other,Mobile Banking,BR Papari,INACTIVE,1
NP0010203,Individual Female,Mobile Banking,BR Dhambujh,ACTIVE,859
NP0010203,Individual Female,Mobile Banking,BR Dhambujh,INACTIVE,130
NP0010203,Individual Male,Mobile Banking,BR Dhambujh,ACTIVE,1407
NP0010203,Individual Male,Mobile Banking,BR Dhambujh,INACTIVE,307
NP0010203,Individual Other,Mobile Banking,BR Dhambujh,ACTIVE,1350
NP0010203,Individual Other,Mobile Banking,BR Dhambujh,INACTIVE,159
NP0010203,Individual Other,Mobile Banking,BR Dhambujh,ACTIVE,1569
NP0010203,Individual Other,Mobile Banking,BR Dhambujh,INACTIVE,1354
NP0010204,Individual Female,Mobile Banking,BR Khajura,ACTIVE,268
NP0010204,Individual Female,Mobile Banking,BR Khajura,INACTIVE,27
NP0010204,Individual Male,Mobile Banking,BR Khajura,ACTIVE,337
NP0010204,Individual Male,Mobile Banking,BR Khajura,INACTIVE,108
NP0010204,Individual Other,Mobile Banking,BR Khajura,ACTIVE,347
NP0010204,Individual Other,Mobile Banking,BR Khajura,INACTIVE,89
NP0010204,Individual Other,Mobile Banking,BR Khajura,ACTIVE,361
NP0010204,Individual Other,Mobile Banking,BR Khajura,INACTIVE,796
NP0010205,Individual Female,Mobile Banking,BR Kohalpur,ACTIVE,676
NP0010205,Individual Female,Mobile Banking,BR Kohalpur,INACTIVE,92
NP0010205,Individual Male,Mobile Banking,BR Kohalpur,ACTIVE,862
NP0010205,Individual Male,Mobile Banking,BR Kohalpur,INACTIVE,147
NP0010205,Individual Other,Mobile Banking,BR Kohalpur,ACTIVE,456
NP0010205,Individual Other,Mobile Banking,BR Kohalpur,INACTIVE,132
NP0010205,Individual Other,Mobile Banking,BR Kohalpur,ACTIVE,349
NP0010205,Individual Other,Mobile Banking,BR Kohalpur,INACTIVE,654
NP0010206,Individual Female,Mobile Banking,BR Gulariya,ACTIVE,182
NP0010206,Individual Female,Mobile Banking,BR Gulariya,INACTIVE,55
NP0010206,Individual Male,Mobile Banking,BR Gulariya,ACTIVE,344
NP0010206,Individual Male,Mobile Banking,BR Gulariya,INACTIVE,98
NP0010206,Individual Other,Mobile Banking,BR Gulariya,ACTIVE,103
NP0010206,Individual Other,Mobile Banking,BR Gulariya,INACTIVE,49
NP0010206,Individual Other,Mobile Banking,BR Gulariya,ACTIVE,284
NP0010206,Individual Other,Mobile Banking,BR Gulariya,INACTIVE,892
NP0010207,Individual Female,Mobile Banking,BR Rajapur,ACTIVE,229
NP0010207,Individual Female,Mobile Banking,BR Rajapur,INACTIVE,56
NP0010207,Individual Male,Mobile Banking,BR Rajapur,ACTIVE,374
NP0010207,Individual Male,Mobile Banking,BR Rajapur,INACTIVE,116
NP0010207,Individual Other,Mobile Banking,BR Rajapur,ACTIVE,306
NP0010207,Individual Other,Mobile Banking,BR Rajapur,INACTIVE,81
NP0010207,Individual Other,Mobile Banking,BR Rajapur,ACTIVE,362
NP0010207,Individual Other,Mobile Banking,BR Rajapur,INACTIVE,561
NP0010208,Individual Female,Mobile Banking,BR Neulapur,ACTIVE,310
NP0010208,Individual Female,Mobile Banking,BR Neulapur,INACTIVE,35
NP0010208,Individual Male,Mobile Banking,BR Neulapur,ACTIVE,358
NP0010208,Individual Male,Mobile Banking,BR Neulapur,INACTIVE,57
NP0010208,Individual Other,Mobile Banking,BR Neulapur,ACTIVE,92
NP0010208,Individual Other,Mobile Banking,BR Neulapur,INACTIVE,61
NP0010208,Individual Other,Mobile Banking,BR Neulapur,ACTIVE,38
NP0010208,Individual Other,Mobile Banking,BR Neulapur,INACTIVE,232
NP0010209,Individual Female,Mobile Banking,BR Surkhet,ACTIVE,1729
NP0010209,Individual Female,Mobile Banking,BR Surkhet,INACTIVE,270
NP0010209,Individual Male,Mobile Banking,BR Surkhet,ACTIVE,2507
NP0010209,Individual Male,Mobile Banking,BR Surkhet,INACTIVE,549
NP0010209,Individual Other,Mobile Banking,BR Surkhet,ACTIVE,410
NP0010209,Individual Other,Mobile Banking,BR Surkhet,INACTIVE,97
NP0010209,Individual Other,Mobile Banking,BR Surkhet,ACTIVE,221
NP0010209,Individual Other,Mobile Banking,BR Surkhet,INACTIVE,700
NP0010210,Individual Female,Mobile Banking,BR Chhinchu,ACTIVE,937
NP0010210,Individual Female,Mobile Banking,BR Chhinchu,INACTIVE,139
NP0010210,Individual Male,Mobile Banking,BR Chhinchu,ACTIVE,1184
NP0010210,Individual Male,Mobile Banking,BR Chhinchu,INACTIVE,267
NP0010210,Individual Other,Mobile Banking,BR Chhinchu,ACTIVE,501
NP0010210,Individual Other,Mobile Banking,BR Chhinchu,INACTIVE,78
NP0010210,Individual Other,Mobile Banking,BR Chhinchu,ACTIVE,446
NP0010210,Individual Other,Mobile Banking,BR Chhinchu,INACTIVE,924
NP0010211,Individual Female,Mobile Banking,BR Jajarkot,ACTIVE,403
NP0010211,Individual Female,Mobile Banking,BR Jajarkot,INACTIVE,140
NP0010211,Individual Male,Mobile Banking,BR Jajarkot,ACTIVE,1006
NP0010211,Individual Male,Mobile Banking,BR Jajarkot,INACTIVE,272
NP0010211,Individual Other,Mobile Banking,BR Jajarkot,ACTIVE,248
NP0010211,Individual Other,Mobile Banking,BR Jajarkot,INACTIVE,100
NP0010211,Individual Other,Mobile Banking,BR Jajarkot,ACTIVE,31
NP0010211,Individual Other,Mobile Banking,BR Jajarkot,INACTIVE,87
NP0010212,Individual Female,Mobile Banking,BR Dailekh,ACTIVE,195
NP0010212,Individual Female,Mobile Banking,BR Dailekh,INACTIVE,47
NP0010212,Individual Male,Mobile Banking,BR Dailekh,ACTIVE,329
NP0010212,Individual Male,Mobile Banking,BR Dailekh,INACTIVE,123
NP0010212,Individual Other,Mobile Banking,BR Dailekh,ACTIVE,109
NP0010212,Individual Other,Mobile Banking,BR Dailekh,INACTIVE,31
NP0010212,Individual Other,Mobile Banking,BR Dailekh,ACTIVE,100
NP0010212,Individual Other,Mobile Banking,BR Dailekh,INACTIVE,403
NP0010213,Individual Female,Mobile Banking,BR Jumla,ACTIVE,410
NP0010213,Individual Female,Mobile Banking,BR Jumla,INACTIVE,50
NP0010213,Individual Male,Mobile Banking,BR Jumla,ACTIVE,549
NP0010213,Individual Male,Mobile Banking,BR Jumla,INACTIVE,81
NP0010213,Individual Other,Mobile Banking,BR Jumla,ACTIVE,168
NP0010213,Individual Other,Mobile Banking,BR Jumla,INACTIVE,36
NP0010213,Individual Other,Mobile Banking,BR Jumla,ACTIVE,119
NP0010213,Individual Other,Mobile Banking,BR Jumla,INACTIVE,239
NP0010214,Individual Female,Mobile Banking,BR Dolpa,ACTIVE,24
NP0010214,Individual Female,Mobile Banking,BR Dolpa,INACTIVE,11
NP0010214,Individual Male,Mobile Banking,BR Dolpa,ACTIVE,88
